driver_id,vehicle_class,max_load_kg,vehicle_type,total_requests,accepted_requests,rating,status,last_break_hours,hazmat_capable,harmful_substance_capable
D0132,카고,5500,탑차,97,71,3.57,1,4.6,0,0
D0133,카고,1000,탑차,136,72,3.79,1,10.5,0,0
D0134,다마스,550,다마스,194,165,4.1,1,1.7,0,0
D0135,카고,18000,냉장,110,60,4.95,1,11.5,0,0
D0136,카고,1000,냉동,153,50,4.81,1,8.8,0,0
D0137,카고,25000,윙바디,155,143,4.29,1,7.7,1,1
D0138,카고,3500,카고,179,66,3.99,1,4.8,0,1
D0139,카고,3500,윙바디,178,96,4.32,1,10.2,0,0
D0140,다마스,550,다마스,92,29,4.71,1,6.4,0,0
D0141,라보,550,라보,75,48,4.35,0,5.4,0,0
D0142,카고,2500,탑차,184,136,3.6,1,5.6,0,0
D0143,카고,25000,윙바디,184,71,3.58,1,7.5,0,0
D0144,라보,550,라보,55,50,4.42,1,5.2,0,0
D0145,카고,25000,탑차,185,105,4.53,1,11.2,0,0
D0146,카고,2500,냉장,94,37,4.68,1,6.5,0,0
D0147,카고,18000,탑차,132,91,3.81,1,10.1,0,0
D0148,카고,2500,냉동,94,92,4.42,1,0.8,0,0
D0149,카고,8000,카고,119,55,4.88,1,10.1,0,0
D0150,다마스,550,다마스,184,68,3.85,1,4.5,0,0
D0151,카고,12000,냉동,108,75,3.56,1,7.4,0,0
D0152,카고,30000,윙바디,178,81,4.46,0,7.3,1,0
D0153,카고,1400,탑차,177,97,4.52,1,9.4,1,0
D0154,카고,18000,냉동,52,23,4.24,1,6.1,0,0
D0155,카고,12000,탑차,185,114,3.62,1,1.3,1,0
D0156,카고,25000,윙바디,95,65,4.29,1,6.4,0,1
D0157,카고,3500,카고,164,152,4.66,0,7.1,0,0
D0158,카고,1400,윙바디,189,129,4.16,1,2.4,0,0
D0159,카고,8000,냉동,156,51,4.09,1,7.9,0,0
D0160,다마스,550,다마스,55,45,3.62,1,6.1,0,0
D0161,카고,18000,탑차,137,109,4.92,1,7.6,0,0
D0162,카고,25000,카고,79,59,4.19,1,2.1,0,0
D0163,카고,2500,윙바디,117,98,4.68,1,11.5,0,0
D0164,카고,2500,탑차,112,71,3.8,1,1.3,0,0
D0165,카고,8000,윙바디,150,85,3.58,1,2.9,0,1
D0166,카고,25000,탑차,154,53,4.67,1,9.8,1,1
D0167,카고,12000,탑차,70,25,4.09,1,7.7,0,0
D0168,카고,5500,냉동,170,65,4.23,1,1.9,0,0
D0169,카고,5500,카고,61,57,3.73,1,2.7,1,1
D0170,카고,8000,탑차,196,164,3.68,1,8.4,0,0
D0171,카고,30000,냉동,54,40,4.5,1,7.9,0,0
D0172,카고,8000,탑차,197,68,3.52,1,11.0,0,0
D0173,카고,2500,카고,50,26,3.56,1,6.9,0,0
D0174,다마스,550,다마스,111,35,4.96,1,4.3,0,0
D0175,카고,8000,카고,143,100,3.8,1,1.2,0,0
D0176,카고,30000,윙바디,71,38,3.83,1,9.8,0,0
D0177,카고,5500,탑차,105,85,4.87,1,0.7,1,0
D0178,카고,1400,카고,65,48,4.5,1,4.6,0,0
D0179,카고,25000,카고,129,87,4.81,0,0.7,0,1
D0180,카고,3500,탑차,143,62,4.42,1,5.1,0,0
D0181,카고,8000,카고,128,121,3.63,1,4.0,0,0
D0182,카고,3500,탑차,121,95,3.7,1,7.2,0,0
D0183,카고,18000,탑차,114,36,4.68,1,1.8,1,0
D0184,카고,1400,카고,90,37,3.55,1,9.2,0,1
D0185,카고,1400,윙바디,145,111,3.81,0,0.9,0,0
D0186,카고,1400,윙바디,168,109,4.47,1,7.4,0,0
D0187,카고,3500,카고,76,64,3.76,1,2.1,0,0
D0188,카고,8000,카고,58,36,4.58,1,9.0,1,0
D0189,카고,1400,냉동,190,140,4.31,1,8.3,0,0
D0190,카고,30000,윙바디,162,124,4.12,1,3.2,0,0
D0191,카고,3500,탑차,59,50,3.9,1,9.2,0,1
D0192,다마스,550,다마스,177,90,4.07,1,2.0,0,0
D0193,카고,30000,윙바디,183,121,4.77,1,1.9,0,0
D0194,카고,1000,윙바디,121,93,3.93,1,2.6,1,1
D0195,카고,25000,카고,95,91,3.74,1,1.2,0,0
D0196,카고,8000,냉동,53,45,4.89,1,4.3,0,0
D0197,카고,18000,냉동,68,21,4.2,1,7.0,0,0
D0198,카고,3500,탑차,159,88,4.27,1,8.9,0,0
D0199,카고,1400,탑차,191,178,4.5,1,5.5,0,0
D0200,카고,1000,카고,101,30,3.96,1,5.9,0,0
D0201,카고,8000,탑차,118,64,4.64,1,9.7,0,1
D0202,카고,18000,카고,132,88,4.04,1,10.0,0,0
D0203,라보,550,라보,180,111,4.34,1,5.9,0,0
D0204,카고,2500,윙바디,136,70,4.09,1,5.3,0,1
D0205,카고,25000,냉동,159,130,4.78,0,11.4,0,0
D0206,카고,25000,냉동,93,78,4.48,1,5.7,0,0
D0207,카고,1400,카고,162,48,3.73,1,4.4,0,0
D0208,다마스,550,다마스,140,122,3.83,1,2.6,0,0
D0209,카고,18000,윙바디,76,30,4.34,1,3.9,0,0
D0210,카고,12000,윙바디,77,31,3.67,1,6.5,0,0
D0211,카고,8000,탑차,172,164,4.14,1,3.8,0,0
D0212,카고,5500,윙바디,139,104,4.5,1,6.6,0,1
D0213,카고,1000,카고,182,131,4.88,1,10.6,1,1
D0214,라보,550,라보,113,60,4.58,1,0.7,0,0
D0215,카고,5500,탑차,154,96,4.29,0,1.9,0,1
D0216,카고,1000,카고,101,82,3.54,1,3.2,0,0
D0217,라보,550,라보,191,190,3.74,1,5.6,0,0
D0218,카고,12000,윙바디,106,82,3.54,1,11.9,1,0
D0219,카고,3500,카고,116,53,4.05,1,3.0,0,0
D0220,다마스,550,다마스,70,61,4.46,1,8.3,0,0
D0221,카고,3500,윙바디,93,90,4.83,1,8.3,0,0
D0222,다마스,550,다마스,82,27,4.14,1,8.1,0,0
D0223,카고,30000,카고,172,117,4.37,1,2.3,0,0
D0224,카고,1000,카고,198,73,4.41,1,3.6,1,0
D0225,카고,30000,탑차,143,113,4.92,1,11.7,0,0
D0226,카고,12000,카고,105,32,3.75,1,7.0,0,0
D0227,카고,8000,냉장,100,74,3.76,1,6.7,0,0
D0228,카고,8000,카고,112,103,3.57,1,8.6,0,0
D0229,카고,3500,냉장,121,69,4.12,1,5.8,0,0
D0230,카고,5500,냉장,161,74,3.67,0,4.5,0,0
D0231,카고,5500,탑차,183,105,4.46,1,1.1,0,1
D0232,카고,2500,냉장,141,54,4.34,1,3.9,0,0
D0233,카고,12000,탑차,71,29,3.67,1,5.5,0,0
D0234,카고,5500,윙바디,174,121,3.62,1,1.6,0,0
D0235,카고,1400,탑차,152,63,4.44,1,6.1,0,0
D0236,카고,30000,카고,55,17,4.64,1,1.8,0,1
D0237,카고,5500,윙바디,147,85,4.74,1,11.6,0,0
D0238,카고,1000,윙바디,95,44,4.1,0,5.5,0,0
D0239,카고,3500,윙바디,64,46,3.57,1,3.8,0,1
D0240,카고,2500,탑차,92,55,4.31,1,7.4,1,0
D0241,카고,5500,윙바디,170,140,4.17,1,10.0,0,0
D0242,다마스,550,다마스,174,123,4.96,1,7.8,0,0
D0243,카고,25000,냉동,111,36,3.84,1,4.4,0,0
D0244,카고,25000,카고,91,61,4.36,1,2.6,0,1
D0245,라보,550,라보,161,140,4.88,1,5.5,0,0
D0246,카고,30000,냉동,149,125,4.5,1,10.5,0,0
D0247,카고,30000,카고,150,89,4.03,1,10.3,1,1
D0248,카고,8000,탑차,67,27,3.85,1,6.6,1,0
D0249,카고,8000,윙바디,66,31,4.41,1,2.5,0,0
D0250,다마스,550,다마스,88,66,3.51,1,9.3,0,0
D0251,카고,3500,카고,173,135,4.46,1,11.5,0,0
D0252,다마스,550,다마스,62,29,4.6,1,8.4,0,0
D0253,카고,1000,윙바디,126,44,4.28,1,9.1,1,0
D0254,라보,550,라보,81,31,4.83,1,7.6,0,0
D0255,다마스,550,다마스,188,152,3.92,0,6.6,0,0
D0256,라보,550,라보,141,87,4.2,1,2.7,0,0
D0257,카고,2500,윙바디,119,112,4.37,0,5.6,0,1
D0258,카고,1400,카고,183,135,4.72,1,11.2,0,0
D0259,카고,8000,카고,167,88,4.39,1,6.8,0,0
D0260,카고,2500,냉장,75,49,3.9,1,10.6,0,0
D0261,카고,30000,탑차,111,45,4.13,1,4.9,1,1
D0262,카고,12000,탑차,183,103,3.58,0,10.4,0,0
D0263,다마스,550,다마스,194,149,4.72,1,0.9,0,0
D0264,카고,12000,윙바디,135,65,4.23,1,0.8,0,0
D0265,카고,3500,탑차,136,99,4.67,1,5.4,0,0
D0266,라보,550,라보,51,15,4.11,1,2.3,0,0
D0267,카고,18000,카고,181,146,3.58,1,2.2,1,1
D0268,라보,550,라보,84,65,4.83,1,11.9,0,0
D0269,카고,1400,냉동,172,156,4.77,1,1.9,0,0
D0270,카고,12000,카고,65,28,3.9,1,4.4,0,0
D0271,카고,30000,탑차,77,70,3.86,1,4.2,1,0
D0272,다마스,550,다마스,158,114,4.53,1,12.0,0,0
D0273,카고,25000,탑차,135,85,3.69,1,6.6,0,0
D0274,카고,30000,냉동,171,170,3.5,0,11.4,0,0
D0275,라보,550,라보,128,52,4.92,1,0.5,0,0
D0276,카고,25000,냉동,58,17,3.84,1,5.1,0,0
D0277,카고,3500,카고,193,182,4.45,1,2.6,0,1
D0278,카고,5500,카고,72,51,4.49,1,2.0,0,0
D0279,라보,550,라보,50,45,4.93,0,4.8,0,0
D0280,카고,12000,카고,89,55,4.64,1,11.3,0,0
D0281,카고,18000,탑차,66,52,4.89,1,1.5,0,0
D0282,카고,12000,탑차,59,47,3.88,1,11.7,0,0
D0283,카고,8000,탑차,161,101,3.55,1,4.1,0,0
D0284,카고,12000,냉장,167,107,3.89,1,5.1,0,0
D0285,카고,2500,카고,173,109,3.61,0,5.0,0,0
D0286,카고,30000,카고,137,43,3.69,0,6.6,1,0
D0287,카고,12000,카고,124,110,4.12,1,4.1,0,0
D0288,카고,1000,윙바디,169,168,4.0,1,5.1,0,0
D0289,카고,2500,카고,107,71,4.93,1,2.9,0,0
D0290,카고,18000,카고,162,109,3.94,1,1.6,0,0
D0291,카고,2500,냉장,173,140,4.07,1,2.8,0,0
D0292,카고,5500,카고,118,72,4.71,1,2.1,0,0
D0293,카고,1000,카고,97,59,3.55,1,4.4,0,0
D0294,카고,30000,냉동,131,115,3.73,1,11.5,0,0
D0295,카고,8000,탑차,129,68,4.63,1,4.7,0,1
D0296,카고,18000,냉동,69,44,4.96,1,2.8,0,0
D0297,카고,1000,탑차,195,172,3.79,1,3.8,0,0
D0298,카고,12000,탑차,52,42,3.8,0,5.1,0,0
D0299,라보,550,라보,108,98,4.48,1,10.1,0,0
D0300,다마스,550,다마스,90,68,3.66,1,3.0,0,0
D0301,카고,30000,냉장,72,66,3.52,1,7.1,0,0
D0302,카고,2500,카고,108,77,4.29,1,2.7,0,0
D0303,카고,1400,카고,69,68,4.87,0,10.2,1,0
D0304,카고,30000,카고,66,25,4.66,1,5.6,1,0
D0305,카고,30000,탑차,93,89,4.02,1,4.2,0,0
D0306,카고,2500,카고,73,44,4.96,1,1.0,0,0
D0307,카고,18000,탑차,152,84,4.54,1,2.3,1,0
D0308,카고,30000,카고,136,44,3.93,1,3.7,1,0
D0309,카고,1400,카고,188,116,3.76,1,5.8,0,0
D0310,다마스,550,다마스,199,80,4.12,1,8.6,0,0
D0311,카고,5500,탑차,124,74,4.45,1,9.4,1,0
D0312,카고,1400,카고,64,52,4.79,1,4.3,1,1
D0313,카고,12000,냉동,86,72,3.7,1,4.2,0,0
D0314,카고,25000,탑차,104,82,4.4,1,5.3,0,1
D0315,카고,1400,냉동,175,150,3.63,1,9.8,0,0
D0316,카고,3500,냉동,117,85,4.89,1,6.5,0,0
D0317,라보,550,라보,197,83,4.79,1,0.6,0,0
D0318,카고,18000,카고,76,42,4.56,1,6.4,0,0
D0319,카고,5500,탑차,192,62,4.15,1,11.9,0,1
D0320,다마스,550,다마스,169,125,4.73,1,3.1,0,0
D0321,카고,2500,카고,126,87,4.18,1,2.7,0,0
D0322,카고,1000,탑차,90,43,4.84,1,4.6,0,0
D0323,카고,25000,카고,148,66,3.52,0,9.4,0,0
D0324,카고,5500,냉장,106,48,3.77,1,8.0,0,0
D0325,카고,5500,탑차,60,37,4.9,1,10.2,0,0
D0326,다마스,550,다마스,168,144,4.31,1,5.8,0,0
D0327,카고,8000,카고,127,57,4.97,1,2.6,0,0
D0328,카고,1000,냉장,120,82,3.91,1,10.2,0,0
D0329,카고,1400,탑차,161,83,4.92,0,10.6,0,0
D0330,카고,1000,탑차,152,82,4.89,1,8.1,0,0
D0331,라보,550,라보,91,50,4.4,1,7.8,0,0
D0332,카고,30000,카고,89,38,4.98,1,0.8,0,0
D0333,카고,8000,냉장,77,68,4.16,1,7.6,0,0
D0334,라보,550,라보,138,55,4.51,1,6.8,0,0
D0335,카고,2500,탑차,164,126,4.88,1,2.2,0,1
D0336,다마스,550,다마스,150,111,4.84,1,6.6,0,0
D0337,카고,2500,탑차,197,168,3.56,1,4.4,1,0
D0338,카고,8000,냉동,156,67,4.65,0,1.4,0,0
D0339,라보,550,라보,145,127,3.62,1,10.1,0,0
D0340,카고,3500,카고,95,87,4.62,0,4.5,0,1
D0341,카고,30000,냉장,198,89,3.58,1,11.2,0,0
D0342,카고,30000,탑차,163,99,4.09,1,4.1,0,0
D0343,카고,1000,탑차,126,97,4.37,1,7.5,0,0
D0344,라보,550,라보,96,34,3.78,1,2.5,0,0
D0345,카고,25000,윙바디,83,68,4.48,0,1.2,0,1
D0346,라보,550,라보,189,126,3.89,1,5.5,0,0
D0347,카고,2500,탑차,190,74,4.22,0,10.4,0,0
D0348,다마스,550,다마스,188,164,4.9,1,11.9,0,0
D0349,카고,5500,탑차,122,52,4.65,1,3.4,0,0
D0350,카고,1000,탑차,174,80,4.38,1,4.1,0,0
D0351,라보,550,라보,137,53,3.97,1,0.7,0,0
D0352,카고,1000,카고,187,173,4.0,1,0.8,0,0
D0353,라보,550,라보,64,62,4.76,1,6.9,0,0
D0354,다마스,550,다마스,67,61,4.81,1,5.2,0,0
D0355,다마스,550,다마스,124,110,4.68,1,2.7,0,0
D0356,카고,2500,냉장,160,52,3.95,0,6.7,0,0
D0357,라보,550,라보,111,52,4.21,0,6.6,0,0
D0358,카고,1400,냉장,81,34,3.78,1,6.5,0,0
D0359,카고,30000,윙바디,83,55,4.95,1,10.5,0,0
D0360,카고,1000,탑차,65,39,4.89,1,6.6,0,1
D0361,카고,2500,윙바디,119,95,4.41,1,5.2,0,0
D0362,라보,550,라보,190,134,4.97,1,8.3,0,0
D0363,카고,1000,냉장,51,31,4.22,1,9.4,0,0
D0364,카고,2500,탑차,111,75,4.89,1,2.6,1,0
D0365,카고,12000,탑차,170,119,4.71,1,11.7,0,0
D0366,카고,5500,냉장,136,73,4.99,1,9.9,0,0
D0367,카고,5500,탑차,111,58,4.26,1,9.8,0,1
D0368,카고,8000,탑차,124,103,3.76,1,4.7,1,0
D0369,카고,25000,냉동,96,75,4.75,1,5.3,0,0
D0370,카고,8000,냉동,71,65,3.68,1,9.3,0,0
D0371,카고,25000,윙바디,75,49,4.61,1,4.5,0,0
D0372,카고,30000,카고,192,82,4.83,1,1.4,1,0
D0373,카고,25000,윙바디,67,32,3.51,1,3.7,0,1
D0374,카고,1400,윙바디,139,119,3.94,1,6.4,0,0
D0375,다마스,550,다마스,86,31,4.3,1,7.2,0,0
D0376,카고,5500,탑차,195,111,4.75,1,6.4,0,0
D0377,카고,25000,카고,143,109,4.68,1,5.0,0,0
D0378,카고,8000,냉동,64,37,3.66,1,7.4,0,0
D0379,다마스,550,다마스,185,118,4.02,0,4.8,0,0
D0380,카고,1000,탑차,56,23,4.78,1,7.0,1,0
D0381,카고,30000,윙바디,73,48,4.79,1,6.3,0,0
D0382,카고,25000,윙바디,68,55,4.98,1,8.4,0,0
D0383,카고,18000,탑차,147,61,3.66,1,8.3,0,1
D0384,카고,12000,카고,172,152,4.08,1,7.9,0,0
D0385,다마스,550,다마스,152,110,4.17,1,9.0,0,0
D0386,카고,25000,윙바디,193,123,4.8,1,8.5,0,0
D0387,카고,12000,탑차,77,45,3.62,0,7.1,0,0
D0388,카고,5500,윙바디,143,125,3.82,1,2.1,0,0
D0389,카고,30000,탑차,182,117,4.77,1,2.0,0,1
D0390,라보,550,라보,188,173,4.62,1,1.2,0,0
D0391,카고,5500,냉동,151,119,4.27,1,11.8,0,0
D0392,카고,1000,탑차,155,116,3.67,1,8.5,0,0
D0393,카고,25000,탑차,195,83,3.67,1,3.3,1,0
D0394,카고,1400,냉장,167,158,4.16,1,4.9,0,0
D0395,라보,550,라보,117,90,4.71,1,3.7,0,0
D0396,카고,30000,탑차,115,113,4.14,1,3.3,0,1
D0397,카고,5500,냉장,177,97,3.8,1,9.6,0,0
D0398,카고,30000,탑차,138,116,4.86,1,11.3,0,0
D0399,카고,2500,탑차,73,32,3.57,1,1.7,0,0
D0400,카고,1000,탑차,119,50,3.53,1,11.5,0,1
D0401,다마스,550,다마스,148,81,4.37,1,9.7,0,0
D0402,카고,2500,탑차,111,37,4.2,1,5.2,1,0
D0403,카고,2500,냉동,188,153,4.06,1,10.3,0,0
D0404,카고,5500,탑차,95,88,4.61,1,4.2,0,0
D0405,카고,1400,윙바디,118,63,4.02,1,7.4,0,0
D0406,카고,30000,냉장,179,132,4.99,1,9.2,0,0
D0407,카고,8000,탑차,85,34,3.58,1,6.1,1,0
D0408,카고,12000,냉동,82,46,4.55,1,4.4,0,0
D0409,카고,30000,윙바디,191,159,3.75,1,2.1,0,0
D0410,카고,30000,카고,87,58,3.82,1,11.9,0,0
D0411,다마스,550,다마스,119,103,3.51,1,8.8,0,0
D0412,카고,2500,윙바디,77,54,3.52,0,10.0,0,0
D0413,카고,2500,탑차,62,44,4.05,1,2.8,0,1
D0414,다마스,550,다마스,184,80,3.77,0,8.5,0,0
D0415,카고,18000,카고,85,30,4.22,1,7.5,0,0
D0416,카고,1400,카고,97,42,4.42,0,9.7,0,0
D0417,카고,5500,카고,106,82,4.54,1,11.4,0,0
D0418,다마스,550,다마스,59,56,4.98,1,8.3,0,0
D0419,카고,1400,카고,153,88,3.94,1,1.1,0,0
D0420,카고,25000,윙바디,144,116,4.26,1,7.5,0,0
D0421,카고,8000,냉동,106,84,4.58,1,4.6,0,0
D0422,카고,18000,카고,158,54,3.79,1,8.1,0,0
D0423,카고,18000,탑차,98,51,4.22,1,1.5,0,0
D0424,카고,2500,탑차,85,74,4.99,1,5.0,0,1
D0425,카고,1400,냉장,119,81,4.9,1,11.9,0,0
D0426,카고,25000,카고,159,92,4.23,1,5.0,0,1
D0427,카고,30000,카고,114,93,4.71,0,9.7,0,0
D0428,카고,3500,탑차,95,37,4.27,1,11.5,0,0
D0429,카고,3500,카고,127,55,4.91,1,5.1,0,0
D0430,카고,18000,윙바디,179,151,4.07,1,8.1,0,0
D0431,카고,12000,카고,68,61,3.63,1,7.0,0,0
D0432,카고,1400,카고,119,116,3.96,1,6.1,0,0
D0433,카고,18000,카고,62,28,4.01,1,8.3,0,0
D0434,카고,1000,윙바디,151,127,4.75,1,9.8,1,1
D0435,카고,25000,탑차,74,56,3.56,1,11.8,0,1
D0436,다마스,550,다마스,52,36,4.23,1,1.1,0,0
